ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: mv_id","Meta: _wssvsc_excludeenalls","Meta: gmwsvs_parent","Meta: _last_editor_used_jetpack","Meta: klb_product_badge_type","Meta: _wwsvsc_exclude_product_single","Meta: _wwsvsc_exclude_product_parent","Meta: _klb_single_video_input","Meta: minimum_allowed_quantity","Meta: maximum_allowed_quantity","Meta: group_of_quantity","Meta: allow_combination","Meta: minmax_do_not_count","Meta: minmax_cart_exclude","Meta: minmax_category_group_of_exclude","Meta: bacola_post_views_count","Meta: purchase_price","Meta: _last_mv_stock_update","Meta: gmwsvs_child","Meta: _wssvsc_custom_name","Meta: min_max_rules","Meta: variation_minimum_allowed_quantity","Meta: variation_maximum_allowed_quantity","Meta: variation_group_of_quantity","Meta: variation_minmax_do_not_count","Meta: variation_minmax_cart_exclude","Meta: variation_minmax_category_group_of_exclude","Meta: _mv_qty"
3189,variable,5022568797,"Festive Brown - 400g",1,0,visible,"Festive Brown - 400g","Festive Brown - 400g",,,taxable,,1,,,0,0,,,,,0,,,,"Bread &amp; Cereals",,,https://kapuafrica.com/wp-content/uploads/2022/01/festive-brown.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1,88,,yes,classic-editor,type1,no,no,,,,,no,no,no,no,2,,
3190,variable,3210825758,"Festive Brown - 600g",1,0,hidden,"Festive Brown - 600g","Festive Brown - 600g",,,taxable,,0,,,0,0,,,,,0,,,,"Bread &amp; Cereals",,,https://kapuafrica.com/wp-content/uploads/2021/11/festive-brown-bread.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1,89,,yes,classic-editor,type1,no,no,,,,,no,no,no,no,4,,
3191,variable,8227628630,"Festive White - 400g",1,0,visible,"Festive White - 400g","Festive White - 400g",,,taxable,,1,,,0,0,,,,,0,,,,"Bread &amp; Cereals",,,https://kapuafrica.com/wp-content/uploads/2022/01/Festive-White-400g.png,,,,,,,,,0,Pricing,"Base, Pamoja",1,1,90,,yes,classic-editor,type1,no,no,,,,,no,no,no,no,11,,
3192,variable,3806867649,"Festive White - 600g",1,0,hidden,"Festive White - 600g","Festive White - 600g",,,taxable,,0,,,0,0,,,,,0,,,,"Bread &amp; Cereals",,,https://kapuafrica.com/wp-content/uploads/2021/11/festive-white-bread.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1,91,,yes,classic-editor,type1,no,no,,,,,no,no,no,no,3,,
3193,variable,1181100148,"Arimis Milking Jelly - 200g",1,0,visible,"Arimis Milking Jelly - 200g","Arimis Milking Jelly - 200g",,,taxable,,1,,,0,0,,,,,0,,,,Beauty,,,https://kapuafrica.com/wp-content/uploads/2021/11/ArimisMilkingJelly200g_1024x1024.png,,,,,,,,,0,Pricing,"Base, Pamoja",1,1,92,,yes,classic-editor,type1,no,no,,,,,no,no,no,no,12,,
3194,variable,1749308189,"Arimis Milking Jelly - 50g",1,0,visible,"Arimis Milking Jelly - 50g","Arimis Milking Jelly - 50g",,,taxable,,1,,,0,0,,,,,0,,,,Beauty,,,https://kapuafrica.com/wp-content/uploads/2022/01/Arimis-50g.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1,93,,yes,classic-editor,type1,no,no,,,,,no,no,no,no,11,,120
3195,variable,9604696117,"Blue Band Original - 100G",1,0,visible,"Blue Band Original - 100G","Blue Band Original - 100G",,,taxable,,1,,,0,0,,,,,0,,,,"Cooking Ingredient",,,https://kapuafrica.com/wp-content/uploads/2022/01/Blueband-250g.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1,94,,yes,classic-editor,type1,no,no,,,,,no,no,no,no,8,,
3196,variable,9673768233,"Blue Band Original - 250G",1,0,visible,"Blue Band Original - 250G","Blue Band Original - 250G",,,taxable,,1,,,0,0,,,,,0,,,,"Cooking Ingredient",,,https://kapuafrica.com/wp-content/uploads/2022/01/BlueBand-500g.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1,95,,yes,classic-editor,type1,no,no,,,,,no,no,no,no,11,,
3197,variable,86722522,"Blue Band Original - 500G",1,0,visible,"Blue Band Original - 500G","Blue Band Original - 500G",,,taxable,,1,,,0,0,,,,,0,,,,"Cooking Ingredient",,,https://kapuafrica.com/wp-content/uploads/2022/01/BlueBand-500g.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1,96,,yes,classic-editor,type1,no,no,,,,,no,no,no,no,9,,
3198,variable,2966612175,"Chapa Mandashi - 100g",1,0,visible,"Chapa Mandashi - 100g","Chapa Mandashi - 100g",,,taxable,,1,,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2022/01/Chapa-Mandashi.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1,97,,yes,classic-editor,type1,no,no,,,,,no,no,no,no,44,,
